Title,Price,Rating,ASIN,URL,Reviews,Category,Page
TOSHIBA 215 cm (85 inches) C450NP Series 4K Ultra HD Smart Google QLED TV 85C450NP (Black),"₹1,49,999",4.1,B0D3X9RQ52,https://www.amazon.in/TOSHIBA-inches-C450NP-Google-85C450NP/dp/B0D3X9RQ52/ref=sr_1_145?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-145,N/A,smart tv,10
Hisense 215 cm (85 inches) Q7N Series 4K Ultra HD Smart QLED TV 85Q7N (Dark Grey),"₹1,59,999",4.2,B0D3X8H9PD,https://www.amazon.in/Hisense-inches-Ultra-Smart-85Q7N/dp/B0D3X8H9PD/ref=sr_1_149?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-149,N/A,smart tv,10
Samsung 125 cm (50 inches) Crystal 4K Vista Ultra HD Smart LED TV UA50UE81AFULXL,N/A,N/A,B0F437CWLS,https://www.amazon.in/Samsung-inches-Crystal-Vista-UA50UE81AFULXL/dp/B0F437CWLS/ref=sr_1_148?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-148,N/A,smart tv,10
TCL 139 cm (55 inches) Metallic Bezel-Less Series 4K Ultra HD Smart LED Google TV 55P655,"₹29,590",3.8,B0DTJ5D8MX,https://www.amazon.in/TCL-inches-Metallic-Bezel-Less-55P655/dp/B0DTJ5D8MX/ref=sr_1_150?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-150,N/A,smart tv,10
BLACK+DECKER 80 cm (32 inches) A1 Series HD Ready LED Smart Google TV BXTVGU32HD2841ATIN (Black),"₹10,999",3.6,B0DPSD1PG5,https://www.amazon.in/BLACK-DECKER-inches-Google-BXTVGU32HD2841ATIN/dp/B0DPSD1PG5/ref=sr_1_152?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-152,N/A,smart tv,10
VW 101 cm (40 inches) Linux Frameless Series Full HD Smart LED TV VW40C3 (Black) | with 18 Months Warranty,"₹12,499",3.9,B0D5Y47MS4,https://www.amazon.in/VW-inches-Frameless-VW40C3-Warranty/dp/B0D5Y47MS4/ref=sr_1_153?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-153,N/A,smart tv,10
Lumio Vision 7 109 cm (43 inches) 4K Ultra-HD Smart QLED TV FTW1-ADSG,"₹29,999",4.6,B0F391JVWF,https://www.amazon.in/Lumio-Vision-inches-Ultra-HD-FTW1-ADSG/dp/B0F391JVWF/ref=sr_1_154?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-154,N/A,smart tv,10
"Samsung 32-Inch(80cm) M5 FHD Smart Monitor, Mouse & Keyboard Control, OTT Apps, IoT Hub, Office 365, Workout Tracker, Multiple Ports, Speakers, Remote, Bluetooth (LS32DM501EWXXL, White)","₹18,199",4.0,B0D47L3H19,https://www.amazon.in/Samsung-Multiple-Speakers-Bluetooth-LS32DM501EWXXL/dp/B0D47L3H19/ref=sr_1_155?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-155,N/A,smart tv,10
acer 109 cm (43 inches) I Pro Series Full HD Smart LED Google TV with Android 14 (Black) | 16GB Storage | 30W Dolby Audio,"₹18,999",3.9,B0D9BWHJMR,https://www.amazon.in/Acer-inches-Google-Android-Storage/dp/B0D9BWHJMR/ref=sr_1_157?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-157,N/A,smart tv,10
TCL 189 cm (75 inches) Metallic Bezel-Less Series 4K Ultra HD Smart LED Google TV 75V6B (Black),"₹66,990",3.8,B0CZ6KW5HQ,https://www.amazon.in/TCL-inches-Metallic-Bezel-Less-75V6B/dp/B0CZ6KW5HQ/ref=sr_1_156?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-156,N/A,smart tv,10
TCL 108 cm (43 inches) 4K Ultra HD Smart QLED Google TV 43C655 (Black),"₹27,990",3.9,B0CZLKK544,https://www.amazon.in/TCL-inches-Ultra-Google-43C655/dp/B0CZLKK544/ref=sr_1_158?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-158,N/A,smart tv,10
